BenchmarkContainerRepository_AddUserToContainer/creating_1000_users-12         	       3	 345690687 ns/op	  871000 B/op	   21930 allocs/op
BenchmarkContainerRepository_AddUserToContainer/creating_1000_containers-12    	       3	 334973202 ns/op	  492616 B/op	   13250 allocs/op
BenchmarkContainerRepository_AddUserToContainer/getting_all_users-12           	1000000000	         0.002086 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerRepository_AddUserToContainer/adding_all_users_to_a_container-12         	       1	1043769151 ns/op	 1543528 B/op	   24275 allocs/op
BenchmarkContainerRepository_AddUserToContainer/getting_all_users_in_container-12          	1000000000	         0.003753 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerRepository_AddUserToContainer/deleting_all_users-12                      	1000000000	         0.1076 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerRepository_AddUserToContainer/getting_all_containers-12                  	1000000000	         0.001761 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerRepository_AddUserToContainer/deleting_all_containers-12                 	       1	2411660041 ns/op	 1126104 B/op	   35500 allocs/op
PASS


enchmarkContainerRepository_AddUserToContainer/creating_1000_users-12         	      10	 102499424 ns/op	  260663 B/op	    6575 allocs/op
BenchmarkContainerRepository_AddUserToContainer/creating_1000_containers-12    	       3	 395841802 ns/op	11642538 B/op	   45960 allocs/op
BenchmarkContainerRepository_AddUserToContainer/getting_all_users-12           	1000000000	         0.004330 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerRepository_AddUserToContainer/adding_all_users_to_a_container-12         	1000000000	         0.2470 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerRepository_AddUserToContainer/getting_all_users_in_container-12          	1000000000	         0.0004446 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerRepository_AddUserToContainer/deleting_all_users-12                      	1000000000	         0.1114 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerRepository_AddUserToContainer/getting_all_containers-12                  	1000000000	         0.002422 ns/op	       0 B/op	       0 allocs/op
BenchmarkContainerRepository_AddUserToContainer/deleting_all_containers-12                 	       1	1951405461 ns/op	 1126104 B/op	   35500 allocs/op
